Produto,Categoria,Data,Quantidade,PU,FT,Subcategoria,Custo
REFRIGERANTE DE MATCHA,DRINKS ALCOOLICOS,07/04/2023,6,"9,00","54,00",DRINKS NAO ALCOOLICOS,"0,79"
AGUA MINERAL,BEBIDAS,22/03/2022,4,"5,00","20,00",BEBIDAS,"0,85"
AGUA COM GAS,BEBIDAS,11/06/2022,9,"6,00","54,00",BEBIDAS,"0,97"
CHA MATE COM PESSEGO GELADO,BEBIDAS,15/03/2022,1,"8,00","8,00",CHA,"1,88"
COLD BREW,CAFE CLASSICOS,05/08/2021,1,"10,00","10,00",CAFE FRIO,"1,84"
CARAMELO MACCHIATO,CAFE AUTORAIS,05/05/2023,5,"9,00","45,00",BEBIDAS QUENTES,"2,06"
CARAMELO MACCHIATO,CAFE AUTORAIS,15/08/2021,1,"9,00","9,00",BEBIDAS QUENTES,"2,06"
PINK LEMONADE,DRINKS NAO ALCOOLICOS,20/08/2022,18,"12,00","216,00",DRINKS NAO ALCOOLICOS,"1,02"
GRANDE LATTE,CAFE CLASSICOS,11/05/2023,1,"13,00","13,00",BEBIDAS QUENTES,"3,11"
SODA ITALIANA,DRINKS NAO ALCOOLICOS,27/07/2022,9,"12,00","108,00",DRINKS NAO ALCOOLICOS,"1,62"
GRANDE MOCHA,CAFE CLASSICOS,29/03/2022,1,"15,00","15,00",BEBIDAS QUENTES,"3,91"
PINK LEMONADE,DRINKS NAO ALCOOLICOS,08/05/2021,1,"7,00","7,00",DRINKS NAO ALCOOLICOS,"1,02"
PINK LEMONADE,DRINKS NAO ALCOOLICOS,18/03/2023,9,"12,00","108,00",DRINKS NAO ALCOOLICOS,"1,02"
COCADA FRESH,DRINKS NAO ALCOOLICOS,21/02/2023,1,"15,00","15,00",DRINKS NAO ALCOOLICOS,"2,84"
PINK LEMONADE,DRINKS NAO ALCOOLICOS,18/02/2023,12,"12,00","144,00",DRINKS NAO ALCOOLICOS,"1,02"
FADA INSENSATA,DRINKS ALCOOLICOS,21/02/2021,1,"22,00","22,00",DRINKS ALCOOLICOS,"7,07"
GRANDE ICED MOCHA,CAFE CLASSICOS,24/03/2022,1,"15,00","15,00",CAFE FRIO,"3,91"
TWIX,CAFE AUTORAIS,02/11/2021,6,"15,00","90,00",BEBIDAS QUENTES,"3,92"
ESPRESSO EXTRA,CAFE CLASSICOS,23/10/2021,5,"0,0","0,0",EXTRA,"0,81"
BODOJITO,DRINKS ALCOOLICOS,07/02/2023,2,"24,00","48,00",DRINKS ALCOOLICOS,"2,63"
COCA COLA 350ML,BEBIDAS REFRIGERANTES,29/09/2022,6,"7,00","42,00",REFRIGERANTES,"3,19"
FRAPPE OREO PANDA,CAFE AUTORAIS,24/08/2021,1,"17,00","17,00",FRAPPE,"5,44"
CHA MATE NATURAL GELADO,BEBIDAS,06/02/2022,7,"7,00","49,00",CHA,"0,07"
COCA COLA LATA DIET 350ML,BEBIDAS,29/05/2021,4,"7,00","28,00",REFRIGERANTES,"3,19"
CHA QUENTE MATCHA,BEBIDAS,24/07/2021,1,"5,00","5,00",CHA,"0,56"
ICED CARAMELO MACCHIATO,CAFE AUTORAIS,08/12/2021,1,"9,00","9,00",CAFE FRIO,"2,08"
FRAPPE MATCHA,CAFE CLASSICOS,22/10/2022,2,"17,00","34,00",FRAPPE,"2,78"
COCA COLA LATA DIET 350ML,BEBIDAS,25/01/2023,14,"8,00","112,00",REFRIGERANTES,"3,19"
ICED TEA,BEBIDAS,19/02/2022,10,"8,00","80,00",CHA,"0,92"
CHA MATE COM LIMAO GELADO,BEBIDAS,09/10/2022,3,"8,00","24,00",CHA,"0,18"
BODO BLUE,DRINKS NAO ALCOOLICOS,29/08/2021,2,"9,00","18,00",DRINKS NAO ALCOOLICOS,"1,62"
NEGRONI,DRINKS ALCOOLICOS,12/06/2021,2,"23,00","46,00",DRINKS ALCOOLICOS,"8,57"
D10,DRINKS ALCOOLICOS,18/09/2022,2,"29,00","58,00",DRINKS ALCOOLICOS,"4,01"
CAIPIRINHA,DRINKS ALCOOLICOS,03/06/2022,2,"18,00","36,00",DRINKS ALCOOLICOS,"3,22"
FANTA LARANJA LATA 350ML,BEBIDAS REFRIGERANTES,14/03/2023,1,"8,00","8,00",REFRIGERANTES,"2,89"
VIRGIN BODOJITO,DRINKS NAO ALCOOLICOS,13/02/2021,1,"15,00","15,00",DRINKS NAO ALCOOLICOS,"0,53"
FRAPPE CARAMELO,CAFE CLASSICOS,14/08/2021,6,"15,00","90,00",FRAPPE,"2,96"
DOSE DE CACHACA,DRINKS ALCOOLICOS,07/03/2023,2,"5,00","10,00",DRINKS ALCOOLICOS,"2,65"
DOSE DE SAQUE,DRINKS ALCOOLICOS,15/05/2022,2,"5,00","10,00",DRINKS ALCOOLICOS,"1,82"
CHOCOLATE GELADO,CAFE CLASSICOS,15/07/2022,1,"10,00","10,00",CAFE FRIO,"3,53"
CERVEJA MANIACS IPA,BEBIDAS CERVEJAS,05/10/2022,6,"12,00","72,00",CERVEJAS,"5,36"
CHA VERDE GELADO COM LIMAO,CAFE CLASSICOS,22/12/2022,3,"8,00","24,00",CHA,"1,92"
CHA MATE NATURAL GELADO,BEBIDAS,31/08/2022,3,"7,00","21,00",CHA,"0,07"
H2O LIMAO 500ML,BEBIDAS REFRIGERANTES,25/07/2021,1,"8,00","8,00",REFRIGERANTES,"2,57"
CHA MATE COM LIMAO GELADO,BEBIDAS,17/11/2021,2,"8,00","16,00",CHA,"0,18"
FRAPPE LEITINHO E NUTELLA,CAFE AUTORAIS,15/04/2022,1,"21,00","21,00",FRAPPE,"6,45"
GRANDE MOCHA,CAFE CLASSICOS,19/11/2022,1,"15,00","15,00",BEBIDAS QUENTES,"3,91"
FADA INSENSATA,DRINKS ALCOOLICOS,06/07/2022,4,"32,00","128,00",DRINKS ALCOOLICOS,"7,07"
CHA MATE COM LIMAO GELADO,BEBIDAS,18/11/2021,3,"8,00","24,00",CHA,"0,18"
COCA COLA LATA DIET 350ML,BEBIDAS,10/06/2022,7,"7,00","49,00",REFRIGERANTES,"3,19"
CHA QUENTE SENCHA,BEBIDAS,06/11/2022,1,"5,00","5,00",CHA,"0,13"
H2O LIMAO 500ML,BEBIDAS REFRIGERANTES,20/04/2021,1,"8,00","8,00",REFRIGERANTES,"2,57"
BODOJITO,DRINKS ALCOOLICOS,05/11/2022,3,"24,00","72,00",DRINKS ALCOOLICOS,"2,63"
BATIDO COCO LOKO,DRINKS ALCOOLICOS,10/08/2022,1,"18,00","18,00",DRINKS ALCOOLICOS,"5,61"
CHOCOLATE QUENTE EUROPEU,CAFE CLASSICOS,27/05/2022,1,"9,00","9,00",BEBIDAS QUENTES,"1,76"
SAQUE FRESH OPEN BAR,DRINKS ALCOOLICOS,08/10/2021,1,"0,0","0,0",OPEN BAR,"3,44"
COCA COLA LATA DIET 350ML,BEBIDAS,28/07/2022,10,"7,00","70,00",REFRIGERANTES,"3,19"
DOSE DE CACHACA,DRINKS ALCOOLICOS,09/08/2022,3,"5,00","15,00",DRINKS ALCOOLICOS,"2,65"
