Loja,Produto,Categoria,Data,Quantidade,Valor Unitário Médio,Total
Restaurante Bodogami,GRANDE AMERICANO,CAFE CLASSICOS,21/09/2021,1,"R$9,00","R$9,00"
Restaurante Bodogami,COCA COLA 350ML,BEBIDAS REFRIGERANTES,31/07/2021,17,"R$7,00","R$119,00"
Restaurante Bodogami,HONG KONG,CAFE AUTORAIS,01/05/2023,3,"R$12,00","R$36,00"
Restaurante Bodogami,CHA MATE COM PESSEGO GELADO,BEBIDAS,18/06/2022,5,"R$8,00","R$40,00"
Restaurante Bodogami,CAIPIRINHA,DRINKS ALCOOLICOS,15/10/2021,1,"R$18,00","R$18,00"
Restaurante Bodogami,COCA COLA LATA DIET 350ML,BEBIDAS,21/10/2022,8,"R$7,00","R$56,00"
Restaurante Bodogami,DOSE DE SAQUE,DRINKS ALCOOLICOS,13/05/2022,2,"R$5,00","R$10,00"
Restaurante Bodogami,BATIDO COCO LOKO,DRINKS ALCOOLICOS,25/08/2021,1,"R$18,00","R$18,00"
Restaurante Bodogami,FRAPPE CARAMELO,CAFE CLASSICOS,09/11/2021,1,"R$15,00","R$15,00"
Restaurante Bodogami,PEPSI LATA 350ML,BEBIDAS REFRIGERANTES,04/12/2021,1,"R$7,00","R$7,00"
Restaurante Bodogami,AGUA MINERAL,BEBIDAS,12/01/2023,2,"R$6,00","R$12,00"
Restaurante Bodogami,COCA COLA 350ML,BEBIDAS REFRIGERANTES,11/05/2021,3,"R$7,00","R$21,00"
Restaurante Bodogami,MILK TEA TRADICIONAL,CAFE CLASSICOS,08/02/2023,3,"R$15,00","R$45,00"
Restaurante Bodogami,IRISH COFFEE,DRINKS ALCOOLICOS,07/05/2023,1,"R$31,00","R$31,00"
Restaurante Bodogami,AGUA TONICA,BEBIDAS,03/05/2022,1,"R$7,00","R$7,00"
Restaurante Bodogami,PINK LEMONADE,DRINKS NAO ALCOOLICOS,01/10/2022,3,"R$12,00","R$36,00"
