Produto,Categoria,Data,Quantidade,PU,FT,Subcategoria,Custo
COGUMELOS DONBURI,ALMOCO,27/01/2021,1,"28,00","28,00",DONBURI,"5,26"
VEG BURGUER DONBURI,ALMOCO,02/10/2021,3,"30,00","90,00",DONBURI,"5,03"
TOAST COGUMELOS,ALL DAY,30/04/2023,2,"19,00","38,00",LANCHES,"2,71"
COMBO MINIBURG FRITAS CHA,ALL DAY,28/08/2021,1,"30,00","30,00",ESPECIAL/COMBO,"10,68"
FRANGO TERIYAKI DONBURI,ALMOCO,31/03/2022,1,"32,00","32,00",DONBURI,"6,08"
DUO ONIGUIRI SIMPLES,PARA COMPARTILHAR,02/02/2023,1,"12,00","12,00",PARA COMPARTILHAR,"2,71"
TACO VEGETAIS,PARA COMPARTILHAR,03/06/2022,2,"21,00","42,00",PARA COMPARTILHAR,"2,8"
TOAST TERIYAKI,ALL DAY,14/11/2021,1,"19,00","19,00",LANCHES,"3,44"
MAIONESE DE MATCHA,ALMOCO,18/11/2022,1,"5,00","5,00",ADICIONAIS,"0,74"
BATATA CHEDDAR E BACON,PARA COMPARTILHAR,22/02/2022,3,"30,00","90,00",PARA COMPARTILHAR,"6,91"
TOAST TERIYAKI,ALL DAY,17/08/2022,3,"19,00","57,00",LANCHES,"3,44"
MOTI DE CHOCOLATE E MORANGO,SOBREMESA,02/02/2023,3,"12,00","36,00",SOBREMESA,"2,17"
CHICKENKATSU BENTO,ALMOCO,19/08/2021,1,"28,00","28,00",BENTO,"5,24"
VEG BURGUER DONBURI,ALMOCO,01/05/2023,2,"34,00","68,00",DONBURI,"5,03"
KOROKKE TERIYAKI,PARA COMPARTILHAR,09/12/2022,7,"33,00","231,00",PARA COMPARTILHAR,"3,49"
KATSU SANDO,ALL DAY,19/02/2021,1,"26,00","26,00",LANCHES,"5,5"
VEGGIE SANDO,ALL DAY,09/01/2023,1,"30,00","30,00",LANCHES,"6,21"
WANPAKU SANDO,ALL DAY,20/08/2022,1,"28,00","28,00",LANCHES,"6,87"
QUEIJO QUENTE,ALL DAY,17/12/2021,2,"13,00","26,00",LANCHES,"4,05"
KATSU SANDO,ALL DAY,11/05/2022,3,"30,00","90,00",LANCHES,"5,5"
FRANGO APIMENTADO SRTA SCARLETT,PARA COMPARTILHAR,22/05/2021,5,"28,00","140,00",PARA COMPARTILHAR,"6,67"
OVO COZIDO EXTRA,ALMOCO,04/12/2021,2,"4,00","8,00",ADICIONAIS,"0,55"
COMBO SANDO FRITAS CHA,ALL DAY,04/09/2022,2,"28,00","56,00",ESPECIAL/COMBO,"10,97"
FRANGO TERIYAKI BENTO,ALMOCO,04/09/2021,5,"28,00","140,00",BENTO,"6,8"
CHICKENKATSU SANDO,ALL DAY,06/04/2021,1,"24,00","24,00",LANCHES,"5,29"
CUBOS FRANGO MUNCHICKEN BITES,PARA COMPARTILHAR,14/12/2021,2,"30,00","60,00",PARA COMPARTILHAR,"6,51"
KATSU DONBURI,ALMOCO,22/02/2023,3,"34,00","102,00",DONBURI,"5,53"
VEGGIE SANDO,ALL DAY,05/05/2022,2,"27,00","54,00",LANCHES,"6,21"
KATSU SANDO,ALL DAY,26/03/2022,10,"30,00","300,00",LANCHES,"5,5"
BATATAS FRITAS JUMANJI,PARA COMPARTILHAR,23/05/2021,7,"25,00","175,00",PARA COMPARTILHAR,"7,31"
COMBO VEGMINIBURG FRITAS CHA,ALL DAY,19/07/2022,1,"28,00","28,00",ESPECIAL/COMBO,"9,68"
KATSU SANDO,ALL DAY,14/02/2023,1,"32,00","32,00",LANCHES,"5,5"
FRANGO TERIYAKI DONBURI,ALMOCO,30/03/2023,3,"34,00","102,00",DONBURI,"6,08"
DUO ONIGUIRI COM FURIKAKE,PARA COMPARTILHAR,07/09/2022,6,"14,00","84,00",PARA COMPARTILHAR,"3,46"
MOTI DE CHOCOLATE E MORANGO,SOBREMESA,07/12/2021,2,"12,00","24,00",SOBREMESA,"2,17"
VEGGIE SANDO,ALL DAY,20/11/2021,1,"25,00","25,00",LANCHES,"6,21"
TAPIOCA JENGADINHO,PARA COMPARTILHAR,28/04/2022,2,"28,00","56,00",PARA COMPARTILHAR,"7,49"
KATSU SANDO,ALL DAY,26/07/2022,8,"30,00","240,00",LANCHES,"5,5"
KATSU SANDO,ALL DAY,30/09/2022,2,"32,00","64,00",LANCHES,"5,5"
VEGAN BENTO,ALMOCO,23/03/2022,1,"30,00","30,00",BENTO,"6,02"
COMBO VEGMINIBURG FRITAS CHA,ALL DAY,23/07/2022,1,"28,00","28,00",ESPECIAL/COMBO,"9,68"
CREPE RED7,SOBREMESA,24/03/2023,2,"26,00","52,00",SOBREMESA,"7,94"
TONKATSU BENTO,ALMOCO,12/06/2022,1,"30,00","30,00",BENTO,"5,53"
COMBO VEGMINIBURG FRITAS CHA,ALL DAY,21/12/2021,1,"28,00","28,00",ESPECIAL/COMBO,"9,68"
FRANGO APIMENTADO SRTA SCARLETT,PARA COMPARTILHAR,20/11/2021,10,"32,00","320,00",PARA COMPARTILHAR,"6,67"
QUEIJO EXTRA,ALL DAY,28/02/2023,2,"2,00","4,00",ADICIONAIS,"1,17"
TONKATSU KARE,ALMOCO,06/10/2022,5,"34,00","170,00",KARE,"4,44"
GUIOZA VEGETAIS AGRICOLA,PARA COMPARTILHAR,08/12/2021,1,"20,00","20,00",PARA COMPARTILHAR,"3,31"
TOAST TERIYAKI,ALL DAY,07/05/2022,2,"19,00","38,00",LANCHES,"3,44"
TOAST AVOCADO,ALL DAY,14/09/2021,1,"19,00","19,00",LANCHES,"6,33"
TONKATSU KARE,ALMOCO,09/02/2023,6,"34,00","204,00",KARE,"4,44"
OVO COZIDO EXTRA,ALMOCO,23/11/2021,2,"4,00","8,00",ADICIONAIS,"0,55"
MAIONESE EXTRA,ALMOCO,07/12/2022,2,"5,00","10,00",ADICIONAIS,"0,48"
CHICKEN KATSU DONBURI,ALMOCO,29/10/2022,4,"34,00","136,00",DONBURI,"5,24"
BATATA CHEDDAR E BACON,PARA COMPARTILHAR,24/06/2022,2,"32,00","64,00",PARA COMPARTILHAR,"6,91"
WANPAKU SANDO,ALL DAY,11/01/2022,1,"26,00","26,00",LANCHES,"6,87"
TAPIOCA JENGADINHO,PARA COMPARTILHAR,24/08/2022,2,"32,00","64,00",PARA COMPARTILHAR,"7,49"
TAPIOCA JENGADINHO,PARA COMPARTILHAR,10/12/2021,5,"28,00","140,00",PARA COMPARTILHAR,"7,49"
GUIOZA SUINO PUERCO RICO,PARA COMPARTILHAR,12/05/2021,4,"15,00","60,00",PARA COMPARTILHAR,"4,11"
FRANGO TERIYAKI DONBURI,ALMOCO,22/07/2021,2,"28,00","56,00",DONBURI,"6,08"
